Food Name,Category,Veg/Non-Veg,Food Type,Tags,Calories (kcal),Protein (g),Carbs (g),Fat (g)
Butter Chicken - Region 32,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 32,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 32,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 32,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 32,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 32,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 32,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 32,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 32,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 32,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 32,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 32,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 32,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 32,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 32,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 32,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 32,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 32,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 33,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 33,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 33,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 33,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 33,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 33,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 33,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 33,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 33,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 33,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 33,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 33,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 33,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 33,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 33,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 33,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 33,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 33,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 33,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 34,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 34,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 34,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 34,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 34,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 34,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 34,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 34,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 34,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 34,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 34,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 34,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 34,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 34,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 34,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 34,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 34,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 34,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 34,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 35,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 35,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 35,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 35,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 35,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 35,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 35,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 35,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 35,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 35,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 35,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 35,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 35,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 35,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 35,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 35,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 35,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 35,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 35,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 36,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 36,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 36,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 36,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 36,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 36,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 36,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 36,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 36,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 36,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 36,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 36,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 36,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 36,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 36,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 36,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 36,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 36,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 36,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 37,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 37,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 37,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 37,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 37,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 37,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 37,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 37,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 37,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 37,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 37,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 37,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 37,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 37,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 37,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 37,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 37,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 37,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 37,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 38,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 38,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 38,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 38,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 38,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 38,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 38,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 38,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 38,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 38,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 38,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 38,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 38,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 38,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 38,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 38,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 38,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 38,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 38,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 39,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 39,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 39,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 39,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 39,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 39,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 39,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 39,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 39,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 39,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 39,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 39,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 39,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 39,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 39,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 39,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 39,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 39,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 39,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 40,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 40,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 40,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 40,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 40,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 40,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 40,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 40,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 40,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 40,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 40,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 40,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 40,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 40,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 40,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 40,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 40,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 40,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 40,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 41,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 41,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 41,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 41,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 41,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 41,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 41,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 41,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 41,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 41,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 41,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 41,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 41,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 41,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 41,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 41,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 41,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 41,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 41,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 42,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 42,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 42,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 42,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 42,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 42,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 42,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 42,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 42,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 42,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 42,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 42,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 42,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 42,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 42,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 42,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 42,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 42,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 42,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 43,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 43,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 43,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 43,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 43,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 43,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 43,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 43,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 43,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 43,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 43,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 43,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 43,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 43,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 43,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 43,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 43,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 43,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 43,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 44,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 44,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 44,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 44,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 44,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 44,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 44,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 44,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 44,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 44,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 44,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 44,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 44,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 44,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 44,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 44,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 44,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 44,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 44,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 45,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 45,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 45,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 45,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 45,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 45,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 45,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 45,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 45,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 45,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 45,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 45,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 45,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 45,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 45,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 45,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 45,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 45,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 45,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 46,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 46,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 46,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 46,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 46,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 46,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 46,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 46,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 46,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 46,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 46,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 46,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 46,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 46,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 46,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 46,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 46,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 46,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 46,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 47,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 47,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 47,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 47,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 47,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 47,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 47,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 47,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 47,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 47,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 47,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
